Vegetable Pulao, Paneer Tikka, Butter Naan
Veg Manchurian, Dal Tadka, Aloo Gobi Masala
Palak Paneer, Veg Biryani, Butter Naan
Chicken Biryani, Tandoori Chicken
Butter Chicken, Garlic Naan
Chicken Tikka Masala, Veg Pizza
Fish Fry, Prawn Masala
Mutton Biryani, Lamb Rogan Josh
Goan Fish Curry, Butter Naan
Paneer Butter Masala, Veg Pizza
Idli (2 Pieces), Masala Dosa, Ghee Pongal
Plain Dosa, Onion Uttapam, Rava Upma
Medhu Vada (2 Pieces), Pongal, Curd Rice
Rava Dosa, Poori (2 Pieces), Veg Fried Rice
Mini Tiffin, Paneer Dosa, Set Dosa
Ragi Dosa, Podi Idli (2 Pieces), Bisibelabath
Ghee Roast Dosa, Veg Pulao
Idli (2 Pieces), Masala Dosa, Ghee Pongal
Plain Dosa, Onion Uttapam, Rava Upma
Medhu Vada (2 Pieces), Pongal, Curd Rice
Original Glazed Doughnut, Chocolate Glazed Doughnut, Strawberry Glazed Doughnut
Caramel Glazed Doughnut, Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut
Glazed Raspberry Filled Doughnut, Glazed Lemon Filled Doughnut, New York Cheesecake Doughnut
Chocolate Custard Filled Doughnut, Kreme Filled Doughnut, Apple Cinnamon Filled Doughnut
Cookies and Kreme Doughnut, Red Velvet Cake Doughnut, Maple Iced Glazed Doughnut
Cinnamon Apple Doughnut, Strawberry Shortcake Doughnut, Blueberry Cake Doughnut
Chocolate Glazed Cruller Doughnut, Original Glazed Cruller Doughnut
Original Glazed Doughnut, Chocolate Glazed Doughnut, Strawberry Glazed Doughnut
Caramel Glazed Doughnut, Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut
Glazed Raspberry Filled Doughnut, Glazed Lemon Filled Doughnut, New York Cheesecake Doughnut
Original Glazed Doughnut, Chocolate Glazed Doughnut, Strawberry Glazed Doughnut
Caramel Glazed Doughnut, Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut
Glazed Raspberry Filled Doughnut, Glazed Lemon Filled Doughnut, New York Cheesecake Doughnut
Chocolate Custard Filled Doughnut, Kreme Filled Doughnut, Apple Cinnamon Filled Doughnut
Chocolate Custard Filled Doughnut, Kreme Filled Doughnut, Apple Cinnamon Filled Doughnut
Chocolate Custard Filled Doughnut, Kreme Filled Doughnut, Apple Cinnamon Filled Doughnut
Chocolate Custard Filled Doughnut, Kreme Filled Doughnut, Apple Cinnamon Filled Doughnut
Caramel Glazed Doughnut, Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut
Caramel Glazed Doughnut, Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut
Caramel Glazed Doughnut, Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut
Caramel Glazed Doughnut, Classic Original Filled Doughnut, Chocolate Iced with Sprinkles Doughnut
Poori Masala, Poori Masala, Poori Masala, Gobi Manchurian, Gobi Manchurian, Gobi Manchurian, Tomato Uttapam, Tomato Uttapam, Tomato Uttapam
Vegetable Fried Rice, Vegetable Fried Rice, Vegetable Fried Rice, Masala Dosa, Masala Dosa, Masala Dosa, Idli Sambar
Paneer Tikka, Veg Seekh Kebab, Tandoori Mushroom
Corn on the Cob, Grilled Pineapple, Veg Platter
Chicken Tikka, Mutton Seekh Kebab, Tandoori Prawns
Fish Amritsari, Barbeque Chicken Wings, Fish Tikka
Butter Garlic Prawns, Chilli Garlic Fish, Chicken Platter
BBQ Chicken Pizza, Paneer Shashlik, Cajun Spiced Potato Wedges
Grilled Corn and Spinach Quesadillas, Peri Peri Chicken, Paneer Tikka
Veg Seekh Kebab, Tandoori Mushroom, Corn on the Cob
Grilled Pineapple, Veg Platter, Chicken Tikka
Mutton Seekh Kebab, Tandoori Prawns, Fish Amritsari
Barbeque Chicken Wings, Fish Tikka, Butter Garlic Prawns
Chilli Garlic Fish, Chicken Platter, BBQ Chicken Pizza
Paneer Shashlik, Cajun Spiced Potato Wedges, Grilled Corn and Spinach Quesadillas
Peri Peri Chicken, Paneer Tikka, Veg Seekh Kebab
Tandoori Mushroom, Corn on the Cob, Grilled Pineapple
Veg Platter, Chicken Tikka, Mutton Seekh Kebab
Tandoori Prawns, Fish Amritsari, Barbeque Chicken Wings
Fish Tikka, Butter Garlic Prawns, Chilli Garlic Fish
Chicken Platter, BBQ Chicken Pizza, Paneer Shashlik
Cajun Spiced Potato Wedges, Grilled Corn and Spinach Quesadillas, Peri Peri Chicken
Paneer Tikka, Paneer Tikka, Paneer Tikka, Veg Seekh Kebab, Veg Seekh Kebab, Veg Seekh Kebab, Tandoori Mushroom, Tandoori Mushroom, Tandoori Mushroom
Corn on the Cob, Corn on the Cob, Corn on the Cob, Grilled Pineapple, Grilled Pineapple, Grilled Pineapple, Veg Platter, Veg Platter, Veg Platter
Chicken Tikka, Chicken Tikka, Chicken Tikka, Mutton Seekh Kebab, Mutton Seekh Kebab, Mutton Seekh Kebab, Tandoori Prawns, Tandoori Prawns, Tandoori Prawns
Fish Amritsari, Fish Amritsari, Fish Amritsari, Barbeque Chicken Wings, Barbeque Chicken Wings, Barbeque Chicken Wings, Fish Tikka, Fish Tikka, Fish Tikka
Butter Garlic Prawns, Butter Garlic Prawns, Butter Garlic Prawns, Chilli Garlic Fish, Chilli Garlic Fish, Chilli Garlic Fish, Chicken Platter, Chicken Platter, Chicken Platter
BBQ Chicken Pizza, BBQ Chicken Pizza, BBQ Chicken Pizza, Paneer Shashlik, Paneer Shashlik, Paneer Shashlik, Cajun Spiced Potato Wedges, Cajun Spiced Potato Wedges, Cajun Spiced Potato Wedges
Grilled Corn and Spinach Quesadillas, Grilled Corn and Spinach Quesadillas, Grilled Corn and Spinach Quesadillas, Peri Peri Chicken, Peri Peri Chicken, Peri Peri Chicken, Paneer Tikka, Paneer Tikka, Paneer Tikka
Veg Seekh Kebab, Veg Seekh Kebab, Veg Seekh Kebab, Tandoori Mushroom, Tandoori Mushroom, Tandoori Mushroom, Corn on the Cob, Corn on the Cob, Corn on the Cob
Grilled Pineapple, Grilled Pineapple, Grilled Pineapple, Veg Platter, Veg Platter, Veg Platter, Chicken Tikka, Chicken Tikka, Chicken Tikka
Mutton Seekh Kebab, Mutton Seekh Kebab, Mutton Seekh Kebab, Tandoori Prawns, Tandoori Prawns, Tandoori Prawns, Fish Amritsari, Fish Amritsari, Fish Amritsari
Barbeque Chicken Wings, Barbeque Chicken Wings, Barbeque Chicken Wings, Fish Tikka, Fish Tikka, Fish Tikka, Butter Garlic Prawns, Butter Garlic Prawns, Butter Garlic Prawns
Chilli Garlic Fish, Chilli Garlic Fish, Chilli Garlic Fish, Chicken Platter, Chicken Platter, Chicken Platter, BBQ Chicken Pizza, BBQ Chicken Pizza, BBQ Chicken Pizza
Paneer Shashlik, Paneer Shashlik, Paneer Shashlik, Cajun Spiced Potato Wedges, Cajun Spiced Potato Wedges
Original Recipe Chicken, Extra Crispy Chicken, Chicken Tenders (3 Piece)
Popcorn Chicken (Small), Chicken Wings (6 Piece), Twister Wrap (Grilled)
Zinger Burger, Veggie Burger, Mashed Potatoes (Regular)
Coleslaw (Regular), Famous Bowl, Pot Pie
Chicken Little, Original Recipe Fries (Regular), Hot Wings (6 Piece)
Mac & Cheese (Regular), Chicken Sandwich, Corn on the Cob
Chicken Littles (12 Piece), Soft Drink (Medium), Original Recipe Chicken
Extra Crispy Chicken, Chicken Tenders (3 Piece), Popcorn Chicken (Small)
Chicken Wings (6 Piece), Twister Wrap (Grilled), Zinger Burger
Veggie Burger, Mashed Potatoes (Regular), Coleslaw (Regular)
Famous Bowl, Pot Pie, Chicken Little
Original Recipe Fries (Regular), Hot Wings (6 Piece), Mac & Cheese (Regular)
Chicken Sandwich, Corn on the Cob, Chicken Littles (12 Piece)
Soft Drink (Medium), Original Recipe Chicken, Extra Crispy Chicken
Chicken Tenders (3 Piece), Popcorn Chicken (Small), Chicken Wings (6 Piece)
Twister Wrap (Grilled), Zinger Burger, Veggie Burger
Mashed Potatoes (Regular), Coleslaw (Regular), Famous Bowl
Pot Pie, Chicken Little, Original Recipe Fries (Regular)
Hot Wings (6 Piece), Mac & Cheese (Regular), Chicken Sandwich
Corn on the Cob, Chicken Littles (12 Piece), Soft Drink (Medium)
Original Recipe Chicken, Original Recipe Chicken, Original Recipe Chicken, Extra Crispy Chicken, Extra Crispy Chicken, Extra Crispy Chicken, Chicken Tenders (3 Piece), Chicken Tenders (3 Piece), Chicken Tenders (3 Piece)
Popcorn Chicken (Small), Popcorn Chicken (Small), Popcorn Chicken (Small), Chicken Wings (6 Piece), Chicken Wings (6 Piece), Chicken Wings (6 Piece), Twister Wrap (Grilled), Twister Wrap (Grilled), Twister Wrap (Grilled)
Zinger Burger, Zinger Burger, Zinger Burger, Veggie Burger, Veggie Burger, Veggie Burger, Mashed Potatoes (Regular), Mashed Potatoes (Regular), Mashed Potatoes (Regular)
Coleslaw (Regular), Coleslaw (Regular), Coleslaw (Regular), Famous Bowl, Famous Bowl, Famous Bowl, Pot Pie, Pot Pie, Pot Pie
Chicken Little, Chicken Little, Chicken Little, Original Recipe Fries (Regular), Original Recipe Fries (Regular), Original Recipe Fries (Regular), Hot Wings (6 Piece), Hot Wings (6 Piece), Hot Wings (6 Piece)
Mac & Cheese (Regular), Mac & Cheese (Regular), Mac & Cheese (Regular), Chicken Sandwich, Chicken Sandwich, Chicken Sandwich, Corn on the Cob, Corn on the Cob, Corn on the Cob
Chicken Littles (12 Piece), Chicken Littles (12 Piece), Chicken Littles (12 Piece), Soft Drink (Medium), Soft Drink (Medium), Soft Drink (Medium), Original Recipe Chicken, Original Recipe Chicken, Original Recipe Chicken
Extra Crispy Chicken, Extra Crispy Chicken, Extra Crispy Chicken, Chicken Tenders (3 Piece), Chicken Tenders (3 Piece), Chicken Tenders (3 Piece), Popcorn Chicken (Small), Popcorn Chicken (Small), Popcorn Chicken (Small)
Chicken Wings (6 Piece), Chicken Wings (6 Piece), Chicken Wings (6 Piece), Twister Wrap (Grilled), Twister Wrap (Grilled), Twister Wrap (Grilled), Zinger Burger, Zinger Burger, Zinger Burger
Veggie Burger, Veggie Burger, Veggie Burger, Mashed Potatoes (Regular), Mashed Potatoes (Regular), Mashed Potatoes (Regular), Coleslaw (Regular), Coleslaw (Regular), Coleslaw (Regular)
Famous Bowl, Famous Bowl, Famous Bowl, Pot Pie, Pot Pie, Pot Pie, Chicken Little, Chicken Little, Chicken Little
Original Recipe Fries (Regular), Original Recipe Fries (Regular), Original Recipe Fries (Regular), Hot Wings (6 Piece), Hot Wings (6 Piece), Hot Wings (6 Piece), Mac & Cheese (Regular), Mac & Cheese (Regular), Mac & Cheese (Regular)
Chicken Sandwich, Chicken Sandwich, Chicken Sandwich, Corn on the Cob, Corn on the Cob, Corn on the Cob, Chicken Littles (12 Piece), Chicken Littles (12 Piece), Chicken Littles (12 Piece)
Soft Drink (Medium), Soft Drink (Medium), Soft Drink (Medium), Original Recipe Chicken, Original Recipe Chicken, Original Recipe Chicken, Extra Crispy Chicken, Extra Crispy Chicken
Idli (2 Pieces),Masala Dosa,Plain Dosa,Medhu Vada (2 Pieces),Rava Upma
Onion Uttapam,Medhu Vada (2 Pieces),Rava Upma,Poori (2 Pieces),Mini Tiffin
Pongal,Ghee Pongal,Rava Dosa,Poori (2 Pieces),Mini Tiffin,Ragi Dosa
Paneer Dosa,Set Dosa,Podi Idli (2 Pieces),Curd Rice,Bisibelabath
Idli (2 Pieces),Masala Dosa,Plain Dosa,Medhu Vada (2 Pieces),Rava Upma
Onion Uttapam,Medhu Vada (2 Pieces),Rava Upma,Poori (2 Pieces),Mini Tiffin
Pongal,Ghee Pongal,Rava Dosa,Poori (2 Pieces),Mini Tiffin,Ragi Dosa
Paneer Dosa,Set Dosa,Podi Idli (2 Pieces),Curd Rice,Bisibelabath
Idli (2 Pieces),Masala Dosa,Plain Dosa,Medhu Vada (2 Pieces),Rava Upma
Onion Uttapam,Medhu Vada (2 Pieces),Rava Upma,Poori (2 Pieces),Mini Tiffin
Pongal,Ghee Pongal,Rava Dosa,Poori (2 Pieces),Mini Tiffin,Ragi Dosa
Paneer Dosa,Set Dosa,Podi Idli (2 Pieces),Curd Rice,Bisibelabath
Idli (2 Pieces),Masala Dosa,Plain Dosa,Medhu Vada (2 Pieces),Rava Upma
Onion Uttapam,Medhu Vada (2 Pieces),Rava Upma,Poori (2 Pieces),Mini Tiffin
Pongal,Ghee Pongal,Rava Dosa,Poori (2 Pieces),Mini Tiffin,Ragi Dosa
Paneer Dosa,Set Dosa,Podi Idli (2 Pieces),Curd Rice,Bisibelabath
Idli (2 Pieces),Masala Dosa,Plain Dosa,Medhu Vada (2 Pieces),Rava Upma
Onion Uttapam,Medhu Vada (2 Pieces),Rava Upma,Poori (2 Pieces),Mini Tiffin
Pongal,Ghee Pongal,Rava Dosa,Poori (2 Pieces),Mini Tiffin,Ragi Dosa
Paneer Dosa,Set Dosa,Podi Idli (2 Pieces),Curd Rice,Bisibelabath
Dal Chawal Arancini,Mushroom Galouti,Dal Chawal Pakora,Tandoori Margherita Kulcha,Chole Kulcha Box
Farzi Caesar Salad,Amritsari Chole Bhatture,Paneer Tikka Masala,Dal Makhani,Paneer Makhani Biryani
Chicken Tikka Masala,Butter Chicken Biryani,Tandoori Chicken Wings,Prawn Balchao,Goan Fish Curry
Chicken Biryani,Hyderabadi Chicken Dum Biryani,Butter Garlic Prawns,Amritsari Fish and Chips,Lamb Rogan Josh
Dal Chawal Arancini,Mushroom Galouti,Dal Chawal Pakora,Tandoori Margherita Kulcha,Chole Kulcha Box
Farzi Caesar Salad,Amritsari Chole Bhatture,Paneer Tikka Masala,Dal Makhani,Paneer Makhani Biryani
Chicken Tikka Masala,Butter Chicken Biryani,Tandoori Chicken Wings,Prawn Balchao,Goan Fish Curry
Chicken Biryani,Hyderabadi Chicken Dum Biryani,Butter Garlic Prawns,Amritsari Fish and Chips,Lamb Rogan Josh
Dal Chawal Arancini,Mushroom Galouti,Dal Chawal Pakora,Tandoori Margherita Kulcha,Chole Kulcha Box
Farzi Caesar Salad,Amritsari Chole Bhatture,Paneer Tikka Masala,Dal Makhani,Paneer Makhani Biryani
Chicken Tikka Masala,Butter Chicken Biryani,Tandoori Chicken Wings,Prawn Balchao,Goan Fish Curry
Chicken Biryani,Hyderabadi Chicken Dum Biryani,Butter Garlic Prawns,Amritsari Fish and Chips,Lamb Rogan Josh
Dal Chawal Arancini,Mushroom Galouti,Dal Chawal Pakora,Tandoori Margherita Kulcha,Chole Kulcha Box
Farzi Caesar Salad,Amritsari Chole Bhatture,Paneer Tikka Masala,Dal Makhani,Paneer Makhani Biryani
Chicken Tikka Masala,Butter Chicken Biryani,Tandoori Chicken Wings,Prawn Balchao,Goan Fish Curry
Chicken Biryani,Hyderabadi Chicken Dum Biryani,Butter Garlic Prawns,Amritsari Fish and Chips,Lamb Rogan Josh
Dal Chawal Arancini,Mushroom Galouti,Dal Chawal Pakora,Tandoori Margherita Kulcha,Chole Kulcha Box
Farzi Caesar Salad,Amritsari Chole Bhatture,Paneer Tikka Masala,Dal Makhani,Paneer Makhani Biryani
Chicken Tikka Masala,Butter Chicken Biryani,Tandoori Chicken Wings,Prawn Balchao,Goan Fish Curry
Chicken Biryani,Hyderabadi Chicken Dum Biryani,Butter Garlic Prawns,Amritsari Fish and Chips,Lamb Rogan Josh
Dal Chawal Arancini,Mushroom Galouti,Dal Chawal Pakora,Tandoori Margherita Kulcha,Chole Kulcha Box
Farzi Caesar Salad,Amritsari Chole Bhatture,Paneer Tikka Masala,Dal Makhani,Paneer Makhani Biryani
Chicken Tikka Masala,Butter Chicken Biryani,Tandoori Chicken Wings,Prawn Balchao,Goan Fish Curry
Chicken Biryani,Hyderabadi Chicken Dum Biryani,Butter Garlic Prawns,Amritsari Fish and Chips,Lamb Rogan Josh
Dal Chawal Arancini,Mushroom Galouti,Dal Chawal Pakora,Tandoori Margherita Kulcha,Chole Kulcha Box
Farzi Caesar Salad,Amritsari Chole Bhatture,Paneer Tikka Masala,Dal Makhani,Paneer Makhani Biryani
Chicken Tikka Masala,Butter Chicken Biryani,Tandoori Chicken Wings,Prawn Balchao,Goan Fish Curry
Chicken Biryani,Hyderabadi Chicken Dum Biryani,Butter Garlic Prawns,Amritsari Fish and Chips,Lamb Rogan Josh
Dal Chawal Arancini,Mushroom Galouti,Dal Chawal Pakora,Tandoori Margherita Kulcha,Chole Kulcha Box
Farzi Caesar Salad,Amritsari Chole Bhatture,Paneer Tikka Masala,Dal Makhani,Paneer Makhani Biryani
Vegetable Spring Rolls,Stir-fried Tofu with Vegetables,Vegetable Manchurian,Paneer Butter Masala,Veg Biryani
Palak Paneer,Paneer Tikka Masala,Veg Fried Rice,Garlic Naan,Chicken Manchow Soup
Chilli Chicken,Chicken Tikka Masala,Chicken Fried Rice,Fish Curry,Prawn Masala
Mutton Rogan Josh,Lamb Biryani,Tandoori Chicken,Fish Fry,Vegetable Spring Rolls
Stir-fried Tofu with Vegetables,Vegetable Manchurian,Paneer Butter Masala,Veg Biryani,Palak Paneer
Paneer Tikka Masala,Veg Fried Rice,Garlic Naan,Chicken Manchow Soup,Chilli Chicken
Chicken Tikka Masala,Chicken Fried Rice,Fish Curry,Prawn Masala,Mutton Rogan Josh
Lamb Biryani,Tandoori Chicken,Fish Fry,Vegetable Spring Rolls,Stir-fried Tofu with Vegetables
Vegetable Manchurian,Paneer Butter Masala,Veg Biryani,Palak Paneer,Paneer Tikka Masala
Veg Fried Rice,Garlic Naan,Chicken Manchow Soup,Chilli Chicken,Chicken Tikka Masala
Chicken Fried Rice,Fish Curry,Prawn Masala,Mutton Rogan Josh,Lamb Biryani
Tandoori Chicken,Fish Fry,Vegetable Spring Rolls,Stir-fried Tofu with Vegetables,Vegetable Manchurian
Paneer Butter Masala,Veg Biryani,Palak Paneer,Paneer Tikka Masala,Veg Fried Rice
Garlic Naan,Chicken Manchow Soup,Chilli Chicken,Chicken Tikka Masala,Chicken Fried Rice
Fish Curry,Prawn Masala,Mutton Rogan Josh,Lamb Biryani,Tandoori Chicken
Fish Fry,Vegetable Spring Rolls,Stir-fried Tofu with Vegetables,Vegetable Manchurian,Paneer Butter Masala
Veg Biryani,Palak Paneer,Paneer Tikka Masala,Veg Fried Rice,Garlic Naan
Chicken Manchow Soup,Chilli Chicken,Chicken Tikka Masala,Chicken Fried Rice,Fish Curry
Prawn Masala,Mutton Rogan Josh,Lamb Biryani,Tandoori Chicken,Fish Fry
Vegetable Spring Rolls,Stir-fried Tofu with Vegetables,Vegetable Manchurian,Paneer Butter Masala,Veg Biryani
Palak Paneer,Paneer Tikka Masala,Veg Fried Rice,Garlic Naan,Chicken Manchow Soup
Chilli Chicken,Chicken Tikka Masala,Chicken Fried Rice,Fish Curry,Prawn Masala
Mutton Rogan Josh,Lamb Biryani,Tandoori Chicken,Fish Fry,Vegetable Spring Rolls
Stir-fried Tofu with Vegetables,Vegetable Manchurian,Paneer Butter Masala,Veg Biryani,Palak Paneer
Paneer Tikka Masala,Veg Fried Rice,Garlic Naan,Chicken Manchow Soup,Chilli Chicken
Chicken Tikka Masala,Chicken Fried Rice,Fish Curry,Prawn Masala,Mutton Rogan Josh
Lamb Biryani,Tandoori Chicken,Fish Fry,Vegetable Spring Rolls,Stir-fried Tofu with Vegetables
Vegetable Manchurian,Paneer Butter Masala,Veg Biryani,Palak Paneer,Paneer Tikka Masala
Veg Fried Rice,Garlic Naan,Chicken Manchow Soup,Chilli Chicken,Chicken Tikka Masala
Chicken Fried Rice,Fish Curry,Prawn Masala,Mutton Rogan Josh,Lamb Biryani
Tandoori Chicken,Fish Fry,Vegetable Spring Rolls,Stir-fried Tofu with Vegetables,Vegetable Manchurian
Paneer Butter Masala,Veg Biryani,Palak Paneer,Paneer Tikka Masala,Veg Fried Rice
Garlic Naan,Chicken Manchow Soup,Chilli Chicken,Chicken Tikka Masala,Chicken Fried Rice
Fish Curry,Prawn Masala,Mutton Rogan Josh,Lamb Biryani,Tandoori Chicken
Fish Fry,Vegetable Spring Rolls,Stir-fried Tofu with Vegetables,Vegetable Manchurian,Paneer Butter Masala
Veg Biryani,Palak Paneer,Paneer Tikka Masala,Veg Fried Rice,Garlic Naan
Chicken Manchow Soup,Chilli Chicken,Chicken Tikka Masala,Chicken Fried Rice,Fish Curry
Prawn Masala,Mutton Rogan Josh,Lamb Biryani,Tandoori Chicken,Fish Fry
Vegetable Pulao,Paneer Tikka,Veg Manchurian,Dal Tadka,Aloo Gobi Masala
Palak Paneer,Veg Biryani,Butter Naan,Paneer Butter Masala,Veg Pizza
Chicken Biryani,Butter Chicken,Chicken Tikka Masala,Chicken Curry,Fish Fry
Prawn Masala,Mutton Biryani,Goan Fish Curry,Lamb Rogan Josh,Tandoori Chicken
Vegetable Pulao,Paneer Tikka,Veg Manchurian,Dal Tadka,Aloo Gobi Masala
Palak Paneer,Veg Biryani,Butter Naan,Paneer Butter Masala,Veg Pizza
Chicken Biryani,Butter Chicken,Chicken Tikka Masala,Chicken Curry,Fish Fry
Prawn Masala,Mutton Biryani,Goan Fish Curry,Lamb Rogan Josh,Tandoori Chicken
Vegetable Pulao,Paneer Tikka,Veg Manchurian,Dal Tadka,Aloo Gobi Masala
Palak Paneer,Veg Biryani,Butter Naan,Paneer Butter Masala,Veg Pizza
Chicken Biryani,Butter Chicken,Chicken Tikka Masala,Chicken Curry,Fish Fry
Prawn Masala,Mutton Biryani,Goan Fish Curry,Lamb Rogan Josh,Tandoori Chicken
Vegetable Pulao,Paneer Tikka,Veg Manchurian,Dal Tadka,Aloo Gobi Masala
Palak Paneer,Veg Biryani,Butter Naan,Paneer Butter Masala,Veg Pizza
Chicken Biryani,Butter Chicken,Chicken Tikka Masala,Chicken Curry,Fish Fry
Prawn Masala,Mutton Biryani,Goan Fish Curry,Lamb Rogan Josh,Tandoori Chicken
Vegetable Pulao,Paneer Tikka,Veg Manchurian,Dal Tadka,Aloo Gobi Masala
Palak Paneer,Veg Biryani,Butter Naan,Paneer Butter Masala,Veg Pizza
Chicken Biryani,Butter Chicken,Chicken Tikka Masala,Chicken Curry,Fish Fry
Prawn Masala,Mutton Biryani,Goan Fish Curry,Lamb Rogan Josh,Tandoori Chicken
Vegetable Pulao,Paneer Tikka,Veg Manchurian,Dal Tadka,Aloo Gobi Masala
Palak Paneer,Veg Biryani,Butter Naan,Paneer Butter Masala,Veg Pizza
Chicken Biryani,Butter Chicken,Chicken Tikka Masala,Chicken Curry,Fish Fry
Prawn Masala,Mutton Biryani,Goan Fish Curry,Lamb Rogan Josh,Tandoori Chicken
Vegetable Pulao,Paneer Tikka,Veg Manchurian,Dal Tadka,Aloo Gobi Masala
Palak Paneer,Veg Biryani,Butter Naan,Paneer Butter Masala,Veg Pizza
Chicken Biryani,Butter Chicken,Chicken Tikka Masala,Chicken Curry,Fish Fry
Prawn Masala,Mutton Biryani,Goan Fish Curry,Lamb Rogan Josh,Tandoori Chicken
Vegetable Pulao,Paneer Tikka,Veg Manchurian,Dal Tadka,Aloo Gobi Masala
Palak Paneer,Veg Biryani,Butter Naan,Paneer Butter Masala,Veg Pizza
Chicken Biryani,Butter Chicken,Chicken Tikka Masala,Chicken Curry,Fish Fry
Prawn Masala,Mutton Biryani,Goan Fish Curry,Lamb Rogan Josh,Tandoori Chicken
Butter Chicken,Paneer Tikka Masala,Chicken Biryani,Dal Makhani,Tandoori Chicken
Palak Paneer,Fish Curry,Aloo Gobi,Chicken Tikka,Chole Bhature
Mutton Rogan Josh,Vegetable Biryani,Keema Naan,Veg Pulao,Butter Naan
Chicken Korma,Veg Kofta Curry,Egg Fried Rice,Shahi Paneer,Tandoori Roti
Butter Chicken,Paneer Tikka Masala,Chicken Biryani,Dal Makhani,Tandoori Chicken
Palak Paneer,Fish Curry,Aloo Gobi,Chicken Tikka,Chole Bhature
Mutton Rogan Josh,Vegetable Biryani,Keema Naan,Veg Pulao,Butter Naan
Chicken Korma,Veg Kofta Curry,Egg Fried Rice,Shahi Paneer,Tandoori Roti
Butter Chicken,Paneer Tikka Masala,Chicken Biryani,Dal Makhani,Tandoori Chicken
Palak Paneer,Fish Curry,Aloo Gobi,Chicken Tikka,Chole Bhature
Mutton Rogan Josh,Vegetable Biryani,Keema Naan,Veg Pulao,Butter Naan
Chicken Korma,Veg Kofta Curry,Egg Fried Rice,Shahi Paneer,Tandoori Roti
Butter Chicken,Paneer Tikka Masala,Chicken Biryani,Dal Makhani,Tandoori Chicken
Palak Paneer,Fish Curry,Aloo Gobi,Chicken Tikka,Chole Bhature
Mutton Rogan Josh,Vegetable Biryani,Keema Naan,Veg Pulao,Butter Naan
Chicken Korma,Veg Kofta Curry,Egg Fried Rice,Shahi Paneer,Tandoori Roti
Veg Manchow Soup,Crispy Corn,Paneer 65,Mushroom Tikka,Veg Spring Rolls
Hakka Noodles,Paneer Butter Masala,Veg Biryani,Chilli Paneer,Vegetable Fried Rice
Chicken Manchow Soup,Chilli Chicken,Chicken Tikka,Chicken Spring Rolls,Chicken Fried Rice
Mutton Rogan Josh,Fish Curry,Prawn Masala,Goan Fish Fry,Mutton Biryani
Veg Manchow Soup,Crispy Corn,Paneer 65,Mushroom Tikka,Veg Spring Rolls
Hakka Noodles,Paneer Butter Masala,Veg Biryani,Chilli Paneer,Vegetable Fried Rice
Chicken Manchow Soup,Chilli Chicken,Chicken Tikka,Chicken Spring Rolls,Chicken Fried Rice
Mutton Rogan Josh,Fish Curry,Prawn Masala,Goan Fish Fry,Mutton Biryani
Veg Manchow Soup,Crispy Corn,Paneer 65,Mushroom Tikka,Veg Spring Rolls
Mutton Rogan Josh,Fish Curry,Prawn Masala,Goan Fish Fry,Mutton Biryani
Veg Manchow Soup,Crispy Corn,Paneer 65,Mushroom Tikka,Veg Spring Rolls
Hakka Noodles,Paneer Butter Masala,Veg Biryani,Chilli Paneer,Vegetable Fried Rice
Chicken Manchow Soup,Chilli Chicken,Chicken Tikka,Chicken Spring Rolls,Chicken Fried Rice
Mutton Rogan Josh,Fish Curry,Prawn Masala,Goan Fish Fry,Mutton Biryani
Veg Manchow Soup,Crispy Corn,Paneer 65,Mushroom Tikka,Veg Spring Rolls
Hakka Noodles,Paneer Butter Masala,Veg Biryani,Chilli Paneer,Vegetable Fried Rice
Chicken Manchow Soup,Chilli Chicken,Chicken Tikka,Chicken Spring Rolls,Chicken Fried Rice
Mutton Rogan Josh,Fish Curry,Prawn Masala,Goan Fish Fry,Mutton Biryani
Veg Manchow Soup,Crispy Corn,Paneer 65,Mushroom Tikka,Veg Spring Rolls
Hakka Noodles,Paneer Butter Masala,Veg Biryani,Chilli Paneer,Vegetable Fried Rice
Chicken Manchow Soup,Chilli Chicken,Chicken Tikka,Chicken Spring Rolls,Chicken Fried Rice
Mutton Rogan Josh,Fish Curry,Prawn Masala,Goan Fish Fry,Mutton Biryani
Veg Manchow Soup,Crispy Corn,Paneer 65,Mushroom Tikka,Veg Spring Rolls
Hakka Noodles,Paneer Butter Masala,Veg Biryani,Chilli Paneer,Vegetable Fried Rice
Chicken Manchow Soup,Chilli Chicken,Chicken Tikka,Chicken Spring Rolls,Chicken Fried Rice
Mutton Rogan Josh,Fish Curry,Prawn Masala,Goan Fish Fry,Mutton Biryani
Veggie Delight,Italian B.M.T.,Subway Club,Spicy Veggie,BBQ Tofu
Veggie Delight Salad,Southwest Black Bean Salad,Greek Salad,Potato Chips,Cookies (Chocolate Chip)
Apple Slices,Veggie Patty,Paneer Tikka,Tandoori Chicken,Roast Beef
Meatball Marinara,Chicken Teriyaki,Egg Salad,Turkey Breast,Veggie Delight Wrap
Veggie Delight,Italian B.M.T.,Subway Club,Spicy Veggie,BBQ Tofu
